val_loss,val_acc,epoch,step,train_loss,trai_acc
0.38926514983177185,0.8209996223449707,56,27929,,
,,56,27929,0.39010459184646606,0.8219591975212097
0.3885769546031952,0.8223046064376831,57,28419,,
,,57,28419,0.38987603783607483,0.8222288489341736
0.3924464285373688,0.8196381330490112,58,28909,,
,,58,28909,0.3888702690601349,0.8226485848426819
0.38838115334510803,0.8216570615768433,59,29399,,
,,59,29399,0.38832521438598633,0.822224497795105
0.3878146708011627,0.821990430355072,60,29889,,
,,60,29889,0.3877652585506439,0.8223835825920105
0.3855283856391907,0.8221237063407898,61,30379,,
,,61,30379,0.3873291313648224,0.8224655389785767
0.3904535472393036,0.8195143342018127,62,30869,,
,,62,30869,0.38745108246803284,0.8223466277122498
0.42493680119514465,0.8186571002006531,63,31359,,
,,63,31359,0.3888658583164215,0.8220900893211365
